"id";"cesky";"anglicky";"nemecky";"kategorie"
214;šampion, mistr;a champion;der Champion;Podstatné jméno
215;charakter, postava, povaha;a character;die Charakter;Podstatné jméno
216;charita;a charity;die Wohltätigkeit;Podstatné jméno
217;zkontrolovat, šek, účet;"";"Sloveso|to check|prüfen ;""
Podstatné jméno|a check|das Scheck
Podstatné jméno|an account|das Konto"
218;cheeseburger;a cheeseburger;der Cheeseburger;Podstatné jméno
219;čokoláda;chocolate;die Schokolade;Podstatné jméno
220;vybrat;to choose;auswählen [gewählt (hat), wählte, wird ausgewählt];Sloveso
221;cigareta;a cigarette;die Zigarette;Podstatné jméno
222;kino;a cinema;das Kino;Podstatné jméno
223;občan;a citizen;der Bürger;Podstatné jméno
224;civilizace;a civilization;die Zivilisation;Podstatné jméno
225;učebna;a classroom;das Klassenzimmer;Podstatné jméno
226;čistý;clean;rein;Přídavné jméno
227;jasný, průzračný;clear;klar;Přídavné jméno
228;klient;a client;der Kunde;Podstatné jméno
229;útes, skála;a cliff;die Klippe;Podstatné jméno
230;šplhat;to climb [climbed, climbed];klettern [geklettert, kletterte, wird geklettert];Sloveso
231;klinika;a clinic;die Klinik;Podstatné jméno
232;hodiny;a clock;die Uhr;Podstatné jméno
233;šatník;a closet;der Kleiderschrank;Podstatné jméno
234;zamračeno;cloudy;bewölkt;Přídavné jméno
235;káva;a coffee;der Kaffee;Podstatné jméno
236;kavárna;a coffee shop;die Kaffeebar;Podstatné jméno
237;shoda okolností;coincidence;die Zufallsgleichheit;Fráze
238;studený, zima, chlad;cold;kalt;Přídavné jméno
239;sbírat;to collect [collected, collected];sammeln [gesammelt (hat), sammelte, wird gesammelt];Sloveso
240;sbírka;a collection;die Sammlung;Podstatné jméno
241;vysoká škola;a high school;die Hochschule;Podstatné jméno
242;barva;a color;die Farbe;Podstatné jméno
243;komik;a comedian;der Komiker;Podstatné jméno
244;komediální;comedic;komödiantisch;Přídavné jméno
245;pohodlný;comfortable;bequem;Přídavné jméno
246;komunikace;communication;die Kommunikation;Podstatné jméno
247;komunita, společenství;a community;die Gemeinschaft;Podstatné jméno
248;soutěžit, soupeřit;to compete;wettstreiten [wettgestritten];Sloveso
249;stěžovat si;to complain;sich beschweren [beschwert (hat), beschwerte sich, wird beschweren];Sloveso
250;stížnost;a complaint;die Beschwerde;Podstatné jméno
251;komplikovaný;complicated;komplex;Přídavné jméno
252;kompromis;a compromise;der Kompromiss;Podstatné jméno
253;sebejistý;confident;selbstbewusst;Přídavné jméno
254;potvrdit;to confirm;bestätigen [bestätigt (hat), bestätigte];Sloveso
255;zmatený;confused;verwirrt;Přídavné jméno
256;blahopřeji;congratulations;Herzlichen Glückwunsch;Fráze
257;následek, důsledek;a consequence;die Folge;Podstatné jméno
258;smlouva;a contract;die Vereinbarung;Podstatné jméno
259;sušenka;a cookie;die Gebäckscheibe;Podstatné jméno
260;chladný, prima;cool;cool;Přídavné jméno
261;kostým;a costume;der Kostüm;Podstatné jméno
262;venkov, země, stát;a country;das Land;Podstatné jméno
263;soud, hřiště;a court, a playing field;das Gericht, das Spielfeld;Podstatné jméno
264;spolupracovník;a coworker;der Kollege;Podstatné jméno
265;útulný;cozy;gemütlich;Přídavné jméno
266;kreditní karta;a credit card;die Kreditkarte;Podstatné jméno
267;zločin;a crime;der Verbrechen;Podstatné jméno
268;kříž, přejít;to cross;überqueren  [überquerte];Sloveso
269;koruna;a crown;die Krone;Podstatné jméno
270;brečet;to cry [cried, cried];weinen [ geweint (hat), weinte, wird geweint ];Sloveso
271;kuchyně;a kitchen;die Küche;Podstatné jméno
272;léčba, lék;a treatment, a medicine;die Behandlung, das Medikament;Podstatné jméno
273;zvídavý;curious;neugierig;Přídavné jméno
274;měna;a currency;die Währung;Podstatné jméno
275;tančit;to dance [danced, danced];tanzen [ getanzt (hat), tanzte, wird getanzt ];Sloveso
276;tmavý, temný;dark;dunkel;Přídavné jméno
277;den;a day;der Tag;Podstatné jméno
278;dohoda, obchod;a deal;die Vereinbarung;Podstatné jméno
279;smrt;death;der Tod;Podstatné jméno
280;debetní karta;a debit card;die Debitkarte;Podstatné jméno
281;rozhodnout;to decide [decided, decided];entscheiden [entschieden, entschied];Sloveso
282;zdobit;to decorate;schmücken [geschmückt (hat), schmückte, wird geschmückt];Sloveso
283;zdržet;to delay;zögern [gezögert (hat), zögerte, wird verzögert];Sloveso
284;smazat;to delete [deleted, deleted];löschen [gelöscht, löschte];Sloveso
285;chutný;delicious;lecker;Přídavné jméno
286;doručit;to deliver [delivered, delivered];doru Deliveren [geliefert, lieferte, wird geliefert];Sloveso
287;doručení;a delivery;die Lieferung;Podstatné jméno
288;poušť;a desert;die Wüste;Podstatné jméno
289;zasloužit;to deserve;verdienen [verdient];Sloveso
290;design, návrh, navrhovat;"";"Podstatné jméno|a design|der Entwurf ;""
Sloveso|to design|entwerfen [entworfen (hat), entwarf]"
291;designér, návrhář;a designer;der Designer;Podstatné jméno
292;zoufalý;desperate;verzweifelt;Přídavné jméno
293;moučník, dezert;a dessert;das Dessert;Podstatné jméno
294;cíl, destinace;a destination;die Destination;Podstatné jméno
295;zařízení;a device;das Gerät;Podstatné jméno
296;diamant;a diamond;der Diamant;Podstatné jméno
297;slovník;a dictionary;das Wörterbuch;Podstatné jméno
298;strava, dieta;food, diet;die Ernährung;Podstatné jméno
299;jiný, odlišný, různý;different;anders;Přídavné jméno
300;těžký, obtížný;difficult;schwer;Přídavné jméno
301;jídelna;a cafeteria;die Mensa;Podstatné jméno
302;jídelna;a dining hall;die Mensa;Podstatné jméno
303;večeře;dinner;das Abendessen;Podstatné jméno
304;nesouhlasit;to disagree;nicht zustimmen [nicht zugestimmt, stimmte nicht, wird nicht zugestimmt];Sloveso
305;zmizet;to disappear;verschwinden [verschwunden (ist), verschwand];Sloveso
306;najít, objevit;to discover;finden [gefunden (hat), fand];Sloveso
307;diskutovat;to discuss;diskutieren [diskutiert (hat), diskutierte];Sloveso
308;nemoc, choroba;a disease;die Krankheit;Podstatné jméno
309;odporný;repulsive;widerwertig;Přídavné jméno
310;myčka nádobí;a dishwasher;die Spülmaschine;Podstatné jméno
311;lékař;a doctor;der Arzt;Podstatné jméno
312;pes;a dog;der Hund;Podstatné jméno
313;delfín;a dolphin;der Delfin;Podstatné jméno
314;internát;a boarding school;das Internat;Podstatné jméno
315;stáhnout;to download [downloaded, downloaded];herunterladen [heruntergeladen];Sloveso
316;drama, herectví;drama, acting;Drama, Schauspiel;Fráze
317;kreslit;to draw [drew, drawn];zeichnen [gezeichnet, zeichnete];Sloveso
318;sen;a dream;der Traum;Podstatné jméno
319;řidič;a driver;der Fahrer;Podstatné jméno
320;bicí;drums;die Trommeln;Podstatné jméno
321;suchý, sušit;"";"Přídavné jméno|dry|trocken ;""
Sloveso|to dry|trocknen [getrocknet, trocknete, wird getrocknet]"
322;povinnost;a duty;die Pflicht;Podstatné jméno
323;navzájem, jeden druhého;each other;einander;Fráze
324;vydělávat;to earn;verdienen [verdient, verdiente, wird verdient];Sloveso
325;snadno;easily;leicht;Příslovce
326;na východ;eastward;nach Osten;Příslovce
327;jíst;to eat [ate, eaten];essen [gegessen, aß, wird gegessen];Sloveso
328;hospodářství, ekonomika;the economy;die Wirtschaft;Podstatné jméno
329;vzdělání, vzdělávání;education;die Bildung;Podstatné jméno
330;snaha, úsilí;an effort;die Anstrengung;Podstatné jméno
331;volby;elections;die Wahlen;Podstatné jméno
332;v rozpacích;in a dilemma;in einer Zwickmühle;Fráze
333;trapný;embarrassing;peinlich;Přídavné jméno
334;nouze, nouzový;emergency;notwendig;Přídavné jméno
335;zaměstnavatel;an employer;der Arbeitgeber;Podstatné jméno
336;prázdný;empty;leer;Přídavné jméno
337;angličtina;English;die Englischsprache;Podstatné jméno
338;bavit;to amuse;amüsieren [amüsiert (ist),  amüsierte];Sloveso
339;dostatečně;enough;genügend;Příslovce
340;díl;a part;ein Teil;Podstatné jméno
341;vybavení, zařízení;equipment;die Ausstattung;Podstatné jméno
342;uniknout;to escape;entkommen [entkommen (ist), entkam];Sloveso
343;esej;an essay;die Essay;Podstatné jméno
344;událost;an event;die Veranstaltung;Podstatné jméno
345;vynikající;excellent;hervorragend;Přídavné jméno
346;nadšený;excited;begeistert;Přídavné jméno
347;cvičit;to exercise;üben [übte, übt];Sloveso
348;vyčerpaný;exhausted;erschöpft;Přídavné jméno
349;drahý;dear;lieb;Přídavné jméno
350;pokus;a trial;ein Versuch;Podstatné jméno
351;odborník;an expert;der Experte;Podstatné jméno
352;vysvětlit;to explain;erklären [erklärt (hat), erklärte, wird erklärt];Sloveso
353;obličej;a face;das Gesicht;Podstatné jméno
354;továrna;a factory;die Fabrik;Podstatné jméno
355;propadnout;to fail;versagen [versagt (hat), versagte, wird versagt];Sloveso
356;spravedlivý, pouť;"";"Přídavné jméno|fair|gerecht ;""
Podstatné jméno|a pilgrimage|die Wallfahrt"
357;fantastický;fantastic;fantastisch;Přídavné jméno
358;farma;a farm;die Farm;Podstatné jméno
359;farmář, zemědělec;a farmer;der Bauer;Podstatné jméno
360;fascinující;fascinating;faszinierend;Přídavné jméno
361;móda;fashion;die Mode;Podstatné jméno
362;rychlý;fast;schnell;Přídavné jméno
363;rychlé občerstvení;fast food;das schnelle Essen;Fráze
364;otec;a father;der Vater;Podstatné jméno
365;nakrmit;to feed [fed, fed];füttern [gefüttert (ist), fütterte];Sloveso
366;zpětná vazba;feedback;die Rückmeldung;Podstatné jméno
367;cítit se;to feel;fühlen [gefühlt (hat), fühlte, wird gefühlt];Sloveso
368;horečka;a fever;das Fieber;Podstatné jméno
369;zjistit, přijít na to;to figure out;finden heraus;Sloveso
370;vyplnit;to fill out;ausfüllen [ausgefüllt (hat/ist), ausfüllte];Sloveso
371;najít;to find;finden [gefunden (hat), fand];Sloveso
372;zjistit;to find out;finden [gefunden (hat), fand];Sloveso
373;prst;a finger;der Finger;Podstatné jméno
374;dokončit;to finish [finished, finished];beenden [beendet (hat/ist), beendete, wird beendet];Sloveso
375;oheň;fire;das Feuer;Podstatné jméno
376;hasič;a firefighter;der Feuerwehrmann;Podstatné jméno
377;ryba;a fish;die Fisch;Podstatné jméno
378;plynně;smoothly;flüssig;Příslovce
379;mlha;fog;der Nebel;Podstatné jméno
380;americký fotbal;American football;der American Football;Podstatné jméno
381;předpověď;a forecast;die Wettervorhersage;Podstatné jméno
382;zapomnětlivý;forgetful;vergesslich;Přídavné jméno
383;mrazák;a freezer;der Gefrierschrank;Podstatné jméno
384;francouzský;French;französisch;Přídavné jméno
385;lednička;a fridge;die Kühlschrankk;Podstatné jméno
386;kamarád;a friend;der Freund;Podstatné jméno
387;kamarádský;friendly;kameradschaftlich;Přídavné jméno
388;úplný;full;voll;Přídavné jméno
389;zábavný;fun;unterhaltsam;Přídavné jméno
390;pohřeb;a funeral;die Beerdigung;Podstatné jméno
391;vtipný;funny;lustig;Přídavné jméno
392;budoucnost;the future;die Zukunft;Podstatné jméno
393;galaxie;a galaxy;die Galaxie;Podstatné jméno
394;garáž;a garage;die Garage;Podstatné jméno
395;odpadky;garbage;die Abfälle;Podstatné jméno
396;česnek;garlic;die Knoblauch;Podstatné jméno
397;zeměpis;geography;die Geographie;Podstatné jméno
398;vzít se;to marry;heiraten [ehelichen (ist), heiratete];Sloveso
399;žirafa;a giraffe;die Giraffe;Podstatné jméno
400;dívka;a girl;das Mädchen;Podstatné jméno
401;přítelkyně;a girlfriend;die Freundin;Podstatné jméno
402;lepidlo;glue;das Kleber;Podstatné jméno
403;cíl, gól, branka;a goal;das Tor;Podstatné jméno
404;Bůh;God;der Gott;Podstatné jméno
405;zlatý;golden;goldener;Přídavné jméno
406;dobré odpoledne;good afternoon;Guten Nachmittag;Fráze
407;známka;a mark;die Note;Podstatné jméno
408;prarodiče;grandparents;die Großeltern;Podstatné jméno
409;hrozen;a bunch of grapes;ein Strauß Trauben;Podstatné jméno
410;tráva;grass;die Gras;Podstatné jméno
411;vděčný;grateful;dankbar;Přídavné jméno
412;skupina;a group;die Gruppe;Podstatné jméno
413;dospět;to mature;reifen [gereift (ist), reifte];Sloveso
414;zaručit, záruka;"";"Sloveso|to guarantee |garantieren [gegarantiert (hat/ist), garantierte] ;""
Podstatné jméno|a guarantee|die Garantie"
415;hádat;to guess;raten [geraten (ist)];Sloveso
416;host;a guest;der Gast;Podstatné jméno
417;tělocvik, posilovna;a gym;das Fitnessstudio;Podstatné jméno
418;kadeřník, kadeřnice;a hairdresser;der Friseur/die Friseurin;Podstatné jméno
419;všechno nejlepší k narozeninám;happy birthday;Alles Gute zum Geburtstag;Fráze
420;těžký;heavy;schwer;Přídavné jméno
421;nenávidět, zášť;hate;Hass und Abneigung;Fráze
422;bavit se;to have fun;sich amüsieren [amüsiert (hat), amüsierte];Sloveso
423;bolest hlavy;headache;Kopfschmerzen;Fráze
424;zdravotní pojištění;health insurance;die Gesundheitsversicherung;Podstatné jméno
425;zdravý;healthy;gesund;Přídavné jméno
426;slyšet;to hear;hören [gehört, hörte, wird gehört];Sloveso
427;infarkt;a heart attack;der Herzinfarkt;Podstatné jméno
428;těžký;heavy;schwer;Přídavné jméno
429;užitečný;helpful;nützlich;Přídavné jméno
430;skrývat, schovat;to hide [hid, hidden];verstecken [verborgen (ist), versteckte];Sloveso
431;střední škola;a secondary school;die Mittelschule;Podstatné jméno
432;dějepis;history;die Geschichte;Podstatné jméno
433;hokej;hockey;der Eishockey;Podstatné jméno
434;svátek;a holiday;der Feiertag;Podstatné jméno
435;domácí úkol;homework;die Hausaufgabe;Podstatné jméno
436;upřímný, čestný;honest;ehrlich;Přídavné jméno
437;doufat;to hope [hoped, hoped];hoffen [gehofft, hoffte, wird gehofft];Sloveso
438;hrozný;horrible;fürchterlich;Přídavné jméno
439;nemocnice;a hospital;die Krankenhaus;Podstatné jméno
440;horký;hot;heiß;Přídavné jméno
441;hotel;a hotel;das Hotel;Podstatné jméno
442;dům;a house;das Haus;Podstatné jméno
443;obejmout;to hug [hugged, hugged];umarmen [umarmt, umarmte, wurde umarmt];Sloveso
444;hurikán;a hurricane;der Hurrikan;Podstatné jméno
445;zraněný;hurt;verletzt;Přídavné jméno
446;ignorovat;to ignore [ignored, ignored];ignorieren [ignoriert, ignorierte, wird ignoriert];Sloveso
447;nemoc, choroba;an illness;die Krankheit;Podstatné jméno
448;představit si;to imagine;sich vorstellen [sich vorgestellt (hat), stellte vor, wird sich vorgestellt];Sloveso
449;nemožný;impossible;unmöglich;Přídavné jméno
450;ohromený;impressed;beeindruckt;Přídavné jméno
451;zlepšit;to improve;verbessern [verbessert (hat/ist), verbesserte, wird verbessert];Sloveso
452;ingredience, přísady;ingredients;die Zutaten;Podstatné jméno
453;zraněný;injured;verletzt;Přídavné jméno
454;nevinný;innocent;unschuldig;Přídavné jméno
455;návod;an instruction;die Anleitung;Podstatné jméno
456;zajímavý;interesting;interessant;Přídavné jméno
457;italský;Italian;italienisch;Přídavné jméno
458;bunda;a jacket;die Jacke;Podstatné jméno
459;japonština;Japanese;die Japanisch;Podstatné jméno
460;šperky;jewelry;die Schmuck;Podstatné jméno
